Leonardo DiCaprio,0
Oprah Winfrey,0
Albert Einstein,1
Michael Jackson,1
Julia Roberts,0
Nelson Mandela,0
William Shakespeare,1
Charlie Chaplin,0
Elvis Presley,0
Cleopatra,1
Martin Luther King Jr.,0
Marie Curie,1
Charles Darwin,0
Vincent van Gogh,1
Mahatma Gandhi,1
Steve Jobs,0
Pablo Picasso,1
Jane Austen,0
Abraham Lincoln,0
Charles Dickens,0
Florence Nightingale,1
Wolfgang Amadeus Mozart,1
Frida Kahlo,1
Mark Twain,1
Charles Schulz,0
Audrey Hepburn,0
John F. Kennedy,0
Marilyn Monroe,0
Frank Sinatra,1
Stephen Hawking,0
J.K. Rowling,1
David Bowie,1
Harrison Ford,0
Clint Eastwood,1
Elton John,0
Cher,0
Stevie Wonder,0
Paul McCartney,0
George Harrison,0
Ringo Starr,0
John Lennon,0
Yoko Ono,1
Bob Dylan,0
Aretha Franklin,0
Jimi Hendrix,1
Janis Joplin,1
Mick Jagger,0
Keith Richards,0
Eric Clapton,0
Bruce Springsteen,0
Tom Hanks,1
Denzel Washington,1
Meryl Streep,1
Robert De Niro,1
Al Pacino,0
Jack Nicholson,0
Morgan Freeman,0
Clint Howard,1
Ron Howard,0
Danny DeVito,0
Arnold Schwarzenegger,0
Sylvester Stallone,0
Michael Douglas,0
Richard Gere,0
Dustin Hoffman,1
Warren Beatty,0
Robert Redford,0
Paul Newman,1
Elizabeth Taylor,0
Marlon Brando,1
James Dean,1
Marilyn Manson,1
Kurt Cobain,1
Lady Gaga,0
Beyoncé,0
Jay-Z,1
Kanye West,1
Taylor Swift,0
Justin Bieber,0
Rihanna,0
Katy Perry,0
Bruno Mars,1
Adele,1
Ed Sheeran,1
Drake,1
Chris Hemsworth,0
Ryan Reynolds,0
Channing Tatum,0
George Clooney,0
Matt Damon,0
Ben Affleck,1
Will Smith,0
Johnny Depp,0
Nicolas Cage,1
Jim Carrey,1
Adam Sandler,1
Eddie Murphy,1
Mike Tyson,0
Michael Jordan,0
Tiger Woods,0
