"Leonardo DiCaprio", 1
"Oprah Winfrey", 1
"Albert Einstein", 1
"Michael Jackson", 1
"Julia Roberts", 1
"Nelson Mandela", 1
"William Shakespeare", 0
"Charlie Chaplin", 1
"Elvis Presley", 1
"Cleopatra", 0
"Martin Luther King Jr.", 1
"Marie Curie", 1
"Charles Darwin", 1
"Vincent van Gogh", 1
"Mahatma Gandhi", 1
"Steve Jobs", 1
"Pablo Picasso", 1
"Jane Austen", 1
"Abraham Lincoln", 1
"Charles Dickens", 1
"Florence Nightingale", 1
"Wolfgang Amadeus Mozart", 1
"Frida Kahlo", 1
"Mark Twain", 1
"Charles Schulz", 1
"Audrey Hepburn", 1
"John F. Kennedy", 1
"Marilyn Monroe", 1
"Frank Sinatra", 1
"Stephen Hawking", 1
"J.K. Rowling", 1
"David Bowie", 1
"Harrison Ford", 1
"Clint Eastwood", 1
"Elton John", 1
"Cher", 1
"Stevie Wonder", 1
"Paul McCartney", 1
"George Harrison", 1
"Ringo Starr", 1
"John Lennon", 1
"Yoko Ono", 1
"Bob Dylan", 1
"Aretha Franklin", 1
"Jimi Hendrix", 1
"Janis Joplin", 1
"Mick Jagger", 1
"Keith Richards", 1
"Eric Clapton", 1
"Bruce Springsteen", 1
"Tom Hanks", 1
"Denzel Washington", 1
"Meryl Streep", 1
"Robert De Niro", 1
"Al Pacino", 1
"Jack Nicholson", 1
"Morgan Freeman", 1
"Clint Howard", 1
"Ron Howard", 1
"Danny DeVito", 1
"Arnold Schwarzenegger", 1
"Sylvester Stallone", 1
"Michael Douglas", 1
"Richard Gere", 1
"Dustin Hoffman", 1
"Warren Beatty", 1
"Robert Redford", 1
"Paul Newman", 1
"Elizabeth Taylor", 1
"Marlon Brando", 1
"James Dean", 1
"Marilyn Manson", 1
"Kurt Cobain", 1
"Lady Gaga", 1
"Beyoncé", 1
"Jay-Z", 1
"Kanye West", 1
"Taylor Swift", 1
"Justin Bieber", 1
"Rihanna", 1
"Katy Perry", 1
"Bruno Mars", 1
"Adele", 1
"Ed Sheeran", 1
"Drake", 1
"Chris Hemsworth", 1
"Ryan Reynolds", 1
"Channing Tatum", 1
"George Clooney", 1
"Matt Damon", 1
"Ben Affleck", 1
"Will Smith", 1
"Johnny Depp", 1
"Nicolas Cage", 1
"Jim Carrey", 1
"Adam Sandler", 1
"Eddie Murphy", 1
"Mike Tyson", 1
"Michael Jordan", 1
"Tiger Woods", 1
